SatVenus.ElapsedSecs,SatVenus.ElapsedDays,SatVenus.VenusMJ2000Eq.X,SatVenus.VenusMJ2000Eq.Y,SatVenus.VenusMJ2000Eq.Z,SatVenus.VenusMJ2000Eq.VX,SatVenus.VenusMJ2000Eq.VY,SatVenus.VenusMJ2000Eq.VZ,SatVenus.Venus.VelApoapsis,SatVenus.Venus.VelPeriapsis,SatVenus.Venus.RadPer,SatVenus.Venus.SMA,SatVenus.Venus.ECC,SatVenus.VenusMJ2000Eq.INC,SatVenus.VenusMJ2000Eq.RAAN,SatVenus.VenusMJ2000Eq.AOP,SatVenus.Venus.OrbitPeriod,SatVenus.Venus.TA
124904.3646,1.445652368,779.4930688,-5042.058381,-10012.04503,-0.652036403,4.217654845,-2.520433082,4.895477349,6.792578572,8183.656855,9769.327089,0.162311101,89.99997206,98.78819456,81.9438411,10644.60771,161.0535923
125288.4134,1.450097377,517.4629705,-3347.134462,-10807.61238,-0.708514065,4.582973587,-1.614668121,4.89547664,6.792580913,8183.652892,9769.325138,0.162311339,89.99997188,98.78819412,81.94383465,10644.60452,170.6561778
125678.6461,1.45461396,233.7848161,-1512.182803,-11251.39432,-0.741227528,4.794575228,-0.65458313,4.895475964,6.792583202,8183.649006,9769.323195,0.16231157,89.99997179,98.78819373,81.94382992,10644.60134,180.3116689
126072.0891,1.459167698,-60.18445772,389.3350205,-11314.47894,-0.748831107,4.843755376,0.336294482,4.895475374,6.79258517,8183.645669,9769.321542,0.16231177,89.99997177,98.78819342,81.94382611,10644.59864,190.0503523
126465.5187,1.463721281,-352.0319711,2277.127194,-10986.07087,-0.730359056,4.724267233,1.332538793,4.895474909,6.792586595,8183.64328,9769.32042,0.162311919,89.9999718,98.78819322,81.94381963,10644.59681,199.9014871
126855.6261,1.468236414,-629.0491546,4068.989317,-10275.45392,-0.685313227,4.432888655,2.306604692,4.895474577,6.792587353,8183.642069,9769.319992,0.162312006,89.99997182,98.78819313,81.94380539,10644.59611,209.8919404
127239.1989,1.472675913,-879.0861703,5686.331165,-9212.30732,-0.613797027,3.970288611,3.228790972,4.895474355,6.792587444,8183.64205,9769.320304,0.162312034,89.99997181,98.78819316,81.9437789,10644.59662,220.0445595
127613.3056,1.477005852,-1091.409918,7059.726631,-7845.149542,-0.51668772,3.342141727,4.067564695,4.895474195,6.792586988,8183.643031,9769.321278,0.162312018,89.99997173,98.78819326,81.94373826,10644.59821,230.3764548
127975.4691,1.481197559,-1257.458999,8133.79716,-6237.925217,-0.39582418,2.560342736,4.790416286,4.895474053,6.792586176,8183.644679,9769.322732,0.162311974,89.99997157,98.7881934,81.94368525,10644.60059,240.8974383
128323.8084,1.485229263,-1371.3897,8870.743359,-4465.055932,-0.254171319,1.644070054,5.365349828,4.895473904,6.792585213,8183.646616,9769.324413,0.162311919,89.99997134,98.78819354,81.94362504,10644.60334,251.6089241
128657.1331,1.489087188,-1430.330868,9251.993646,-2605.597656,-0.095912639,0.620384459,5.76297833,4.895473763,6.79258427,8183.648511,9769.32605,0.162311866,89.99997105,98.78819365,81.9435646,10644.60601,262.5035281
128974.9754,1.492765919,-1434.316756,9277.769846,-737.3744081,0.073574794,-0.475932813,5.959024316,4.895473678,6.792583449,8183.650135,9769.327401,0.162311815,89.99997073,98.78819371,81.94351069,10644.60822,273.5654427
129277.5569,1.49626802,-1385.933784,8964.802245,1068.029472,0.247890994,-1.603483865,5.936879468,4.895473711,6.792582783,8183.651381,9769.328294,0.162311764,89.9999704,98.78819371,81.94346805,10644.60968,284.7714626
129565.6998,1.499603008,-1289.775603,8342.804748,2748.786289,0.419930264,-2.716306004,5.689810161,4.89547392,6.792582253,8183.652244,9769.328638,0.162311706,89.99997009,98.78819364,81.94343852,10644.61024,296.0924189
129840.7056,1.502785945,-1151.825936,7450.482782,4254.641274,0.582318607,-3.766701109,5.222421039,4.895474337,6.792581817,8183.652783,9769.328433,0.162311633,89.99996983,98.78819352,81.94342118,10644.60991,307.4948538
130104.2268,1.505835958,-978.8736257,6331.749588,5547.214647,0.727922374,-4.708525748,4.551082693,4.895474956,6.792581432,8183.653083,9769.327752,0.162311544,89.99996961,98.78819337,81.94341325,10644.60879,318.9429138
130358.1549,1.508774941,-778.0256323,5032.576099,6599.196577,0.850362646,-5.500518475,3.703175862,4.895475735,6.79258107,8183.653227,9769.326718,0.16231144,89.99996946,98.7881932,81.94341121,10644.6071,330.4005174
130604.5341,1.511626552,-556.3473895,3598.664601,7392.863209,0.944461458,-6.109186125,2.715211989,4.895476601,6.792580724,8183.653281,9769.325488,0.162311329,89.99996935,98.78819304,81.94341195,10644.60509,341.8336554
130845.4986,1.514415493,-320.6379748,2073.994447,7918.283333,1.006555767,-6.510834728,1.630128751,4.895477466,6.7925804,8183.653291,9769.324227,0.16231122,89.9999693,98.78819289,81.94341344,10644.60303,353.2124109
130988.3186,1.516068502,-175.2374423,1133.481569,8102.881744,1.027541942,-6.646579878,0.951987175,4.895477947,6.792580223,8183.653291,9769.323521,0.16231116,89.99996928,98.78819281,81.94341441,10644.60188,359.9999988
